Name	Lap	Lgo	Lga 	W
	um	um	um	um
C1	8	3	0	75
C2	6	3	0	75
C3	15	1	0	75
C4	10	1	0	75	
C5	8	1	0	75
C6	6	1	0	75
C7	4	1	0	75
C8	3	1	0	75
C9	4	3	0	75
D1	6	1	3	75
D2	4	1	2	75
D3	3	1	1.5	75
D4	4	3	2	75
D5	8	3	4	75
D6	6	3	3	75
D7	15	1	7.5	75
D8	10	1	5	75
D9	8	1	4	75
A1	0	1	0	75
A2	0	1	0	75
A3	8	2	0	75
A4	8	4	0	75
A5	6	2	0	75
A6	6	4	0	75
A7	4	2	0	75
A8	4	4	0	75
B1	4	4	2	75
B2	4	2	2	75
B3	6	4	3	75
B4	6	2	3	75
B5	8	4	4	75
B6	8	2	4	75
B7	0	12	0	75
B8	0	6	0	75
M1	4	4	0	75
M2	4	3	0	75
M3	4	2	0	75
M4	4	1	0	75
N1	4	4	2	75
N2	4	1	2	75
N3	4	2	2	75
N4	4	3	2	75
