Name	Lap	Lg	Lgmesa
	um	um	um
SD1	125	125	129
SD2	100	100	104
SD3	75	75	79
SD4	50	50	50
SD5	5	100	104
SD6	45	100	104
SD7	50	100	104
SD8	65	100	104
SD9	75	100	104
SD10	35	100	104
SD11	25	100	104
SD12	15	100	104
SD13	10	100	104
SD14	25	100	104
SD15	75	100	104
SD16	50	100	104
SD17	0	75	79
SD18	0	100	104
SD19	0	125	129
SD20	0	100	104
SD21	100	100	104
SD22	125	125	129
SD23	150	150	154
GD1	175	175	179
GD2	150	150	154
GD3	125	125	129
GD4	100	100	104
GD5	0	125	129
GD6	0	100	104
GD7	50	100	104
GD8	75	100	104
GD9	175	175	179
GD10	75	75	79
GD11	50	50	59
GD12	100	100	104
GD13	125	125	129
GD14	150	150	154
GD15	0	100	104
GD16	0	75	79
GD17	75	100	104
GD18	50	100	104
GD19	25	100	104
GD20	50	100	104
SG1	0	50	50
SG2	0	75	75
SG3	0	100	100
SG4	0	125	125
SG5	0	150	150
SG6	0	175	175
SG7	0	100	125
SG8	0	125	125
SG9	0	150	150
SG10	0	175	175
